id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year,decade
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',82,250987,0,['Journey'],['0rvjqX7ttXeg3mTy8Xscbt'],1981,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,4,1981,1980
2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,81,248440,0,"['Queen', 'David Bowie']","['1dfeR4HaWDbWqFHLkxsg1d', '0oSGxfWSnnOXhD2fKuz2Gy']",1982-05-03,0.671,0.712,2,-7.815,1,0.0476,0.429,0.0,0.103,0.462,113.805,4,1982,1980
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,81,210173,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1980-07-25,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4,1980,1980
0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,81,222707,0,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],1986-08-16,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,4,1986,1980
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,80,277477,0,['U2'],['51Blml2LZPmy7TTiAg47vQ'],1987-03-03,0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,4,1987,1980
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,80,295516,0,['U2'],['51Blml2LZPmy7TTiAg47vQ'],1987-03-03,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,4,1987,1980
7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,80,241600,0,['Van Halen'],['2cnMpRsOVqtPMfq7YiFE6K'],1984-01-04,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,4,1984,1980
0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,80,231333,0,['Wham!'],['5lpH0xAS4fVfLkACg9DAuM'],1984-10-23,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,4,1984,1980
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,80,188987,0,['The Clash'],['3RGLhK1IP9jnYFH4BRFJBS'],1982,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,4,1982,1980
1OOtq8tRnDM8kG2gqUPjAj,Beat It,80,258040,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1982-11-30,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,4,1982,1980
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,79,304787,0,['Foreigner'],['6IRouO5mvvfcyxtPDKMYFN'],1984-12-12,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,4,1984,1980
5tVA6TkbaAH9QMITTQRrNv,Free Fallin',79,256000,0,['Tom Petty'],['2UZMlIwnkgAEDBsw1Rejkn'],1989-01-01,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,4,1989,1980
4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams (Come True),79,190627,0,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1980,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4,1980,1980
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,79,238733,0,['Katrina & The Waves'],['2TzHIUhVpeeDxyJPpQfnV3'],1985,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4,1985,1980
1uKjQoh8JZj9ryuYRhpd7E,Ahora Te Puedes Marchar,79,191973,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1987-07-15,0.78,0.877,6,-3.683,0,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,4,1987,1980
3YBZIN3rekqsKxbJc9FZko,Paradise City,79,405640,0,"[""Guns N' Roses""]",['3qm84nBOXUEQ2vnTfUTTFC'],1987-07-21,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,4,1987,1980
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,79,197707,0,['Billy Joel'],['6zFYqv1mOsgBRQbae3JJ9e'],1983-08-08,0.701,0.943,4,-2.986,1,0.0456,0.0747,0.0,0.601,0.791,128.992,4,1983,1980
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,79,226653,0,['Fleetwood Mac'],['08GQAI4eElDnROBrJRGE0X'],1987-04-13,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,4,1987,1980
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,79,238267,0,['Cyndi Lauper'],['2BTZIqw0ntH9MvilQ3ewNY'],1983-10-14,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4,1983,1980
2M9ro2krNb7nr7HSprkEgo,Fast Car,79,296800,0,['Tracy Chapman'],['7oPgCQqMMXEXrNau5vxYZP'],1988-04-05,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,4,1988,1980
0bVtevEgtDIeRjCJbK3Lmv,Welcome To The Jungle,78,272027,0,"[""Guns N' Roses""]",['3qm84nBOXUEQ2vnTfUTTFC'],1987-07-21,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,4,1987,1980
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,78,257760,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1987-08-31,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4,1987,1980
7HKez549fwJQDzx3zLjHKC,Start Me Up - Remastered,78,213067,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1981-08-24,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,4,1981,1980
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,78,310333,0,['Europe'],['7Js6Lde8thlIHXggv2SCBz'],1986,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,4,1986,1980
6OnfBiiSc9RGKiBKKtZXgQ,We Built This City,78,296080,0,['Starship'],['0kObWap02DEg9EAJ3PBxzf'],1985-09-10,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,4,1985,1980
3Ud6fFep5ZlXzRWw6Sm8no,Walk Of Life,78,249960,0,['Dire Straits'],['0WwSkZ7LtFUFjGjMZBMt6T'],1985-05-13,0.462,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.427,4,1985,1980
4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,78,288733,0,['Don Henley'],['5dbuFbrHa1SJlQhQX9OUJ2'],1984-01-01,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,4,1984,1980
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,78,241307,0,['Bruce Springsteen'],['3eqjTLE0HfPfh78zjh6TqT'],1984-06-04,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,4,1984,1980
4YwbSZaYeYja8Umyt222Qf,You Can't Hurry Love - 2016 Remaster,78,175747,0,['Phil Collins'],['4lxfqrEsLX6N1N4OCSkILp'],1982-11-05,0.62,0.936,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527,4,1982,1980
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,78,234973,0,['Pixies'],['6zvul52xwTWzilBZl6BUbT'],1988-03-21,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4,1988,1980
18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,78,336453,0,['Phil Collins'],['4lxfqrEsLX6N1N4OCSkILp'],1981-01-01,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,4,1981,1980
5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,78,237000,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1980,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,4,1980,1980
4w3tQBXhn5345eUXDGBWZG,9 to 5,78,162467,0,['Dolly Parton'],['32vWCbZh0xZ4o9gkz4PsEU'],1980,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4,1980,1980
6F9yAYUaNbUhdlQyt5uZ3b,La Incondicional,77,257027,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1988-11-25,0.374,0.727,10,-4.352,1,0.0309,0.237,0.0,0.134,0.283,155.127,4,1988,1980
